LOCAL-010300,Anadia,365,2.26,154,0.96,10,16120,63.01,0,22.72,23.48,3663,0,40.97,42.33,6604,0,17.72,18.31,2857,0,4.47,4.62,721,0,3.16,3.27,510,0,1.28,1.33,207,0,1.87,1.93,301,0,1.53,1.58,246,0,1.69,1.74,272,0,0.00,0.00,0,0,0.48,0.50,78,0,0.00,0.00,0,0,0.35,0.36,56,0,0.25,0.26,40,0,0.17,0.17,27,0,0.07,0.07,11,0,0.05,0.05,8,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
LOCAL-010304,Avelãs de Caminho,12,1.86,4,0.62,1,644,61.33,0,27.33,28.03,176,0,36.18,37.10,233,0,19.57,20.06,126,0,4.04,4.14,26,0,1.86,1.91,12,0,1.09,1.11,7,0,1.71,1.75,11,0,1.55,1.59,10,0,2.80,2.87,18,0,0.00,0.00,0,0,0.16,0.16,1,0,0.00,0.00,0,0,0.16,0.16,1,0,0.16,0.16,1,0,0.62,0.64,4,0,0.16,0.16,1,0,0.16,0.16,1,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
LOCAL-010305,Avelãs de Cima,28,2.43,6,0.52,1,1151,62.72,0,16.42,16.92,189,0,50.74,52.28,584,0,18.16,18.71,209,0,3.91,4.03,45,0,1.39,1.43,16,0,0.61,0.63,7,0,1.13,1.16,13,0,0.70,0.72,8,0,1.91,1.97,22,0,0.00,0.00,0,0,0.70,0.72,8,0,0.00,0.00,0,0,0.61,0.63,7,0,0.26,0.27,3,0,0.26,0.27,3,0,0.17,0.18,2,0,0.09,0.09,1,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
LOCAL-010307,Moita,32,2.37,8,0.59,1,1352,64.88,0,22.93,23.63,310,0,42.68,43.98,577,0,15.38,15.85,208,0,4.29,4.42,58,0,3.77,3.89,51,0,1.55,1.60,21,0,1.70,1.75,23,0,1.92,1.98,26,0,1.55,1.60,21,0,0.00,0.00,0,0,0.67,0.69,9,0,0.00,0.00,0,0,0.15,0.15,2,0,0.37,0.38,5,0,0.07,0.08,1,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
LOCAL-010309,Sangalhos,53,2.41,32,1.45,1,2200,62.75,0,21.91,22.79,482,0,36.23,37.68,797,0,21.23,22.08,467,0,4.41,4.59,97,0,4.73,4.92,104,0,1.86,1.94,41,0,1.73,1.80,38,0,1.41,1.47,31,0,1.23,1.28,27,0,0.00,0.00,0,0,0.64,0.66,14,0,0.00,0.00,0,0,0.32,0.33,7,0,0.27,0.28,6,0,0.09,0.09,2,0,0.09,0.09,2,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
LOCAL-010310,São Lourenço do Bairro,41,3.01,21,1.54,1,1360,61.68,0,22.50,23.57,306,0,41.10,43.07,559,0,16.69,17.49,227,0,4.71,4.93,64,0,3.31,3.47,45,0,0.81,0.85,11,0,1.40,1.46,19,0,1.69,1.77,23,0,1.91,2.00,26,0,0.00,0.00,0,0,0.51,0.54,7,0,0.00,0.00,0,0,0.15,0.15,2,0,0.07,0.08,1,0,0.44,0.46,6,0,0.15,0.15,2,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
LOCAL-010312,Vila Nova de Monsarros,20,2.29,10,1.15,1,873,59.23,0,30.81,31.91,269,0,35.05,36.30,306,0,16.61,17.20,145,0,4.93,5.10,43,0,2.29,2.37,20,0,1.26,1.30,11,0,1.15,1.19,10,0,0.92,0.95,8,0,1.95,2.02,17,0,0.00,0.00,0,0,0.57,0.59,5,0,0.00,0.00,0,0,0.34,0.36,3,0,0.46,0.47,4,0,0.23,0.24,2,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
LOCAL-010313,Vilarinho do Bairro,23,1.49,17,1.10,1,1540,59.55,0,15.00,15.40,231,0,52.14,53.53,803,0,19.87,20.40,306,0,3.05,3.13,47,0,1.62,1.67,25,0,0.65,0.67,10,0,1.17,1.20,18,0,0.84,0.87,13,0,2.08,2.13,32,0,0.00,0.00,0,0,0.45,0.47,7,0,0.00,0.00,0,0,0.26,0.27,4,0,0.26,0.27,4,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
LOCAL-010316,"União das freguesias de Amoreira da Gândara, Paredes do Bairro e Ancas",26,1.66,16,1.02,1,1570,65.06,0,19.11,19.63,300,0,44.97,46.20,706,0,20.70,21.27,325,0,3.50,3.60,55,0,2.55,2.62,40,0,0.83,0.85,13,0,1.46,1.51,23,0,1.08,1.11,17,0,2.04,2.09,32,0,0.00,0.00,0,0,0.51,0.52,8,0,0.00,0.00,0,0,0.45,0.46,7,0,0.00,0.00,0,0,0.13,0.13,2,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
LOCAL-010317,União das freguesias de Arcos e Mogofores,79,2.22,24,0.67,1,3560,64.88,0,25.08,25.83,893,0,36.74,37.84,1308,0,16.21,16.69,577,0,5.76,5.93,205,0,3.85,3.96,137,0,2.05,2.11,73,0,2.75,2.83,98,0,2.13,2.20,76,0,1.24,1.27,44,0,0.00,0.00,0,0,0.37,0.38,13,0,0.00,0.00,0,0,0.34,0.35,12,0,0.34,0.35,12,0,0.11,0.12,4,0,0.08,0.09,3,0,0.06,0.06,2,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
